filter_name;noise_type;noise_intensity;filter_value;med_chest_ct.jpg;med_chest_xray.jpg;med_hand_xray.jpg;med_head_mr.jpg;med_thorax_ct.jpg;sat_mixed_close_1.jpg;sat_mixed_close_2.jpg;sat_mixed_close_3.jpg;sat_nature_farther_1.jpg;sat_nature_farther_2.jpg;sat_nature_farther_3.jpg;sat_urban_farther_normal_1.jpg;sat_urban_farther_normal_2.jpg;sat_urban_farther_normal_3.jpg
gaussian_filter;salt_pepper;0_5;1;3669,1014;1719,1951;3467,254;2946,8697;3284,2119;1494,0272;1629,6053;1800,2726;1429,0435;1095,0842;872,186;1064,3872;1040,5747;1012,4623
gaussian_filter;salt_pepper;0_5;2;3150,4548;1184,0564;2835,4309;2449,2382;2763,2878;1074,5222;1225,3764;1390,3254;969,2682;629,6521;408,164;624,9142;649,3324;620,6754
gaussian_filter;salt_pepper;0_5;3;3155,3814;1090,8141;2728,1656;2459,2355;2737,7991;1049,8057;1207,9427;1373,7088;928,8948;560,8032;337,1787;568,9897;627,429;594,1509
gaussian_filter;salt_pepper;0_5;4;3231,6659;1062,3933;2698,2419;2534,7102;2780,0431;1070,0451;1229,6071;1400,1833;945,0128;544,3032;321,3586;561,2499;645,1554;605,7079
gaussian_filter;salt_pepper;0_5;5;3323,9922;1052,4191;2689,6934;2613,6814;2839,4808;1096,9776;1255,0218;1433,6635;973,4237;540,6915;320,0744;564,6402;668,3756;621,7449
gaussian_filter;salt_pepper;0_5;6;3418,7217;1049,5011;2689,554;2682,2108;2902,5428;1123,432;1278,6663;1466,9964;1003,3585;540,9608;323,6415;571,0491;691,2478;636,8331
gaussian_filter;salt_pepper;0_5;7;3512,0852;1050,0954;2692,7645;2740,1718;2965,8655;1147,5971;1299,8778;1498,4561;1031,4403;542,6289;329,0355;578,0468;712,6305;650,1573
gaussian_filter;salt_pepper;0_5;8;3602,1342;1052,5141;2698,4614;2788,3179;3028,0301;1169,4074;1319,1859;1527,7512;1056,8717;544,6869;335,0258;584,9457;732,4011;661,9356
gaussian_filter;salt_pepper;0_5;9;3688,4884;1055,966;2704,843;2829,0324;3087,5422;1188,7658;1336,8164;1554,979;1079,2846;546,7131;341,0812;591,4506;750,5027;672,4363
gaussian_filter;salt_pepper;0_5;10;3771,8823;1060,4682;2712,5074;2862,5933;3145,4126;1206,0082;1353,3044;1580,258;1098,8782;548,7206;347,1096;597,5423;766,9532;681,9145
gaussian_filter;salt_pepper;0_05;1;198,144;98,6288;128,785;144,0232;186,5727;191,868;241,2947;221,6608;136,5574;124,6766;109,4855;160,9007;189,9787;198,0526
gaussian_filter;salt_pepper;0_05;2;243,6553;47,6986;62,0057;175,5166;214,6752;264,0587;346,5373;332,9986;154,0169;124,4587;95,3655;188,705;271,8031;280,9552
gaussian_filter;salt_pepper;0_05;3;360,2578;44,5092;61,7455;307,5502;299,7322;347,3069;445,778;431,2813;210,3981;149,2083;111,8878;229,5115;354,8083;359,7808
gaussian_filter;salt_pepper;0_05;4;484,794;47,4939;70,4486;452,9929;387,7988;414,839;519,6027;506,6471;268,8757;169,4579;129,1975;260,6374;417,7235;417,6425
gaussian_filter;salt_pepper;0_05;5;608,279;51,8436;80,3551;585,6964;473,826;469,9386;574,404;568,5916;324,6223;184,7862;144,8804;284,5296;466,7589;460,0703
gaussian_filter;salt_pepper;0_05;6;727,9803;56,5018;89,7183;699,0653;557,1027;516,1697;616,5028;621,8773;375,9837;196,6533;158,7676;303,7201;507,2761;492,3529
gaussian_filter;salt_pepper;0_05;7;842,9501;61,208;98,3459;793,8068;637,6264;555,5645;650,4103;669,0558;422,3155;206,011;171,1813;319,5203;542,1572;517,5327
gaussian_filter;salt_pepper;0_05;8;952,8978;65,9093;106,5692;872,3797;715,4527;589,6965;678,9064;711,674;463,3299;213,6092;182,4271;332,9487;572,9831;538,0718
gaussian_filter;salt_pepper;0_05;9;1057,9526;70,6357;114,4935;938,3198;790,3078;619,2697;703,7822;750,6893;499,0962;219,8628;192,6925;344,5196;600,6509;555,2819
gaussian_filter;salt_pepper;0_05;10;1158,3776;75,41;122,4583;993,4251;862,1786;645,1808;726,0624;786,7235;530,199;225,1416;202,1986;354,6739;625,4938;570,2154
gaussian_filter;salt_pepper;0_25;1;1244,4629;631,8466;1122,8997;987,2756;1138,0811;654,7258;728,046;761,2696;592,3375;490,4603;419,6453;509,1452;535,7567;529,6917
gaussian_filter;salt_pepper;0_25;2;1015,0032;358,0378;773,4384;770,607;899,2903;506,934;605,0248;638,3533;393,8915;278,4464;206,1581;330,081;410,8576;406,8348
gaussian_filter;salt_pepper;0_25;3;1086,1446;314,1832;721,3277;857,556;937,7622;545,7067;656,132;689,2283;410,1276;261,5912;184,8548;329,9286;450,6645;442,5465
gaussian_filter;salt_pepper;0_25;4;1197,9315;303,0847;712,2035;980,8298;1010,8989;594,9038;709,8786;746,8125;453,1013;266,0814;188,5874;345,4652;495,9369;482,1168
gaussian_filter;salt_pepper;0_25;5;1317,0714;301,3146;714,1378;1096,3725;1090,943;639,7664;754,0884;799,4384;499,5973;273,4567;197,8296;361,4468;535,6719;514,4702
gaussian_filter;salt_pepper;0_25;6;1434,9186;303,0439;719,7755;1195,3791;1170,847;679,0122;789,8722;846,7659;543,816;280,6258;208,0624;375,8301;570,1543;540,2038
gaussian_filter;salt_pepper;0_25;7;1549,1226;306,5086;726,7445;1278,4395;1249,4552;713,2366;819,9059;889,5867;583,9429;286,9332;218,1961;388,5281;600,6429;561,1184
gaussian_filter;salt_pepper;0_25;8;1658,1711;310,8932;734,6431;1347,3973;1325,4248;743,0172;845,9241;928,6102;619,4188;292,4269;227,9168;399,613;627,898;578,5594
gaussian_filter;salt_pepper;0_25;9;1762,4465;315,9355;743,1055;1405,1343;1398,6243;769,1084;869,1732;964,3715;650,5189;297,1448;237,0654;409,4275;652,3626;593,4541
gaussian_filter;salt_pepper;0_25;10;1862,21;321,3769;751,8906;1453,4869;1469,1894;792,0336;890,3456;997,4475;677,2145;301,2849;245,6876;418,1932;674,4555;606,5923
gaussian_filter;gaussian;0_5;1;232,8211;162,8813;178,6311;183,2613;226,0781;227,6442;265,5256;247,1941;171,7255;171,9833;162,8095;196,2345;224,0936;231,4527
gaussian_filter;gaussian;0_5;2;320,6895;74,0401;133,4173;219,4725;281,8702;269,9212;347,4451;339,236;160,638;135,1047;105,9372;193,6835;274,4623;284,505
gaussian_filter;gaussian;0_5;3;447,2684;63,5961;137,4017;353,6833;373,5492;347,6928;442,6443;433,0146;211,2948;153,1931;114,425;229,2119;351,6141;358,1504
gaussian_filter;gaussian;0_5;4;577,0581;64,0362;147,9127;499,7156;464,7308;413,47;515,3263;506,1459;267,6783;171,2167;128,8442;258,6135;412,5209;414,5054
gaussian_filter;gaussian;0_5;5;704,5838;67,1552;158,7898;632,5157;552,5527;467,8392;569,614;566,6232;322,538;185,5893;143,1507;281,8054;460,5459;456,455
gaussian_filter;gaussian;0_5;6;827,3522;71,1125;168,9232;744,9099;637,0353;513,7579;611,5796;618,9401;373,5093;196,9758;156,2661;300,5892;500,5217;488,4909
gaussian_filter;gaussian;0_5;7;944,9779;75,2853;178,2955;838,8765;718,6886;552,9986;645,188;665,4557;419,659;206,0551;168,1413;316,2571;535,2322;513,7577
gaussian_filter;gaussian;0_5;8;1057,3126;79,6137;187,2016;916,2933;797,5541;586,9407;673,5187;707,5679;460,6159;213,4491;178,9435;329,6485;565,9433;534,3612
gaussian_filter;gaussian;0_5;9;1164,5228;84,0446;195,9572;981,0794;872,9863;616,4608;698,1684;746,1558;496,4799;219,6399;188,9192;341,2212;593,5904;551,6555
gaussian_filter;gaussian;0_5;10;1267,2934;88,5749;204,7396;1034,7711;945,4343;642,3219;720,2326;781,8951;527,6517;224,852;198,1889;351,3616;618,5347;566,6355
gaussian_filter;gaussian;0_9;1;1040,564;810,7388;1203,3814;1101,9208;1028,8842;704,4847;731,0473;753,5701;641,9909;577,8695;566,7336;594,7095;616,6608;622,6115
gaussian_filter;gaussian;0_9;2;981,0807;456,4197;962,8008;926,0864;911,0136;492,3864;567,9082;605,0387;381,8762;276,8396;230,7419;329,3056;407,0044;411,6615
gaussian_filter;gaussian;0_9;3;1085,043;397,7664;930,6587;1017,6924;972,9063;519,6513;612,2392;651,2386;387,3589;243,9322;187,2318;313,6055;434,1301;432,245
gaussian_filter;gaussian;0_9;4;1208,8432;381,6111;928,2213;1141,4048;1055,1433;565,4893;664,0034;707,0665;426,9245;242,9759;183,3357;324,147;476,4607;467,8212
gaussian_filter;gaussian;0_9;5;1333,5506;377,6298;933,2931;1256,8364;1139,3994;609,0055;707,3312;758,8127;472,0673;247,9923;189,1023;338,1964;515,4803;499,2673
gaussian_filter;gaussian;0_9;6;1455,3455;378,2076;940,6188;1356,049;1222,4219;647,6746;742,6918;805,5825;515,5783;253,7557;197,5323;351,7926;550,0511;525,0773
gaussian_filter;gaussian;0_9;7;1571,6074;380,9235;948,7315;1438,7906;1302,4229;681,7015;772,3164;848,1888;555,3907;259,0839;206,5363;364,1636;581,0052;546,2772
gaussian_filter;gaussian;0_9;8;1682,7705;384,782;957,4945;1506,7858;1379,9902;711,5468;798,1286;887,0539;590,7584;263,8857;215,513;375,2626;608,9068;564,0784
gaussian_filter;gaussian;0_9;9;1788,5216;389,4521;966,5537;1563,1074;1454,2299;737,6555;821,0473;922,9164;621,6478;268,0918;224,166;385,1715;634,0833;579,447
gaussian_filter;gaussian;0_9;10;1889,5719;394,5489;975,9044;1609,7153;1525,2903;760,7043;841,9631;956,1201;648,4142;271,7489;232,4715;394,0232;656,868;592,9354
median_filter;salt_pepper;0_5;1;13564,7541;9986,9218;13403,8208;12325,5579;12874,034;9477,6059;9630,035;9981,8148;9450,4363;8837,4615;8371,0476;8678,3823;8537,5678;8489,0348
median_filter;salt_pepper;0_5;2;12446,5565;5989,6081;13109,7962;12183,2315;11617,8401;8174,0774;7682,0177;8721,4804;8270,0922;7502,4261;5061,1055;6187,8811;5611,1201;5764,3969
median_filter;salt_pepper;0_5;3;2787,466;1960,2287;2645,0253;2595,1702;2608,8794;2027,4092;2163,3028;2193,4522;1955,648;1797,8808;1695,4083;1824,6092;1854,0007;1860,5497
median_filter;salt_pepper;0_5;4;1581,1659;695,616;1437,2341;1518,6786;1421,0921;1130,1766;1222,5038;1293,5176;1046,9758;919,826;659,4459;863,5195;908,0831;942,4258
median_filter;salt_pepper;0_5;5;421,0903;158,9608;213,789;360,6744;374,7136;413,3778;528,108;523,0925;288,1158;253,1638;208,6241;322,8773;413,368;434,4982
median_filter;salt_pepper;0_5;6;334,6252;53,8697;87,6445;261,7397;289,6936;362,9033;472,2964;462,7523;217,3769;175,3232;124,2471;250,5716;360,0013;379,5548
median_filter;salt_pepper;0_5;7;247,4053;29,0175;29,0806;183,3359;236,3686;336,3244;436,7018;419,7044;172,4333;144,9447;99,8492;224,0113;336,2335;352,7246
median_filter;salt_pepper;0_5;8;285,84;28,2181;28,2493;222,1035;259,0057;363,3389;472,1143;454,4147;192,2557;153,4879;104,1226;237,9492;365,0213;379,2255
median_filter;salt_pepper;0_5;9;276,2477;28,7023;28,6759;231,8031;262,4588;375,4657;483,1874;459,2334;189,4593;157,8853;104,8848;242,0657;375,3732;386,7094
median_filter;salt_pepper;0_5;10;329,3525;31,1132;33,942;281,2057;286,32;401,446;516,6878;494,1239;212,5097;167,3627;112,0172;255,6489;401,4965;412,2243
median_filter;salt_pepper;0_05;1;1361,8401;1017,0878;1339,4436;1240,4458;1302,5059;951,987;969,9028;997,8341;955,3839;884,4978;842,7798;880,4708;857,055;860,2613
median_filter;salt_pepper;0_05;2;300,1047;86,9009;193,6224;269,1935;271,3133;298,781;351,8172;346,0479;216,773;184,8039;122,3016;219,0239;254,9489;273,2003
median_filter;salt_pepper;0_05;3;25,803;5,058;2,1068;13,9264;36,4081;100,8925;146,7756;110,5734;46,8639;51,3729;36,7357;85,6077;100,4357;114,8725
median_filter;salt_pepper;0_05;4;120,0913;13,9062;10,549;73,2851;109,6883;192,604;267,7055;242,2029;98,8133;84,7722;60,3005;141,566;193,3983;210,7264
median_filter;salt_pepper;0_05;5;62,63;13,1621;4,7216;37,9974;88,1231;180,9373;259,8492;232,5079;82,3268;86,9905;59,4414;143,0761;188,1149;210,2457
median_filter;salt_pepper;0_05;6;150,6112;17,9941;12,6421;95,493;158,6011;246,9892;340,6297;315,5056;121,634;109,0015;74,6764;178,062;251,1991;270,7513
median_filter;salt_pepper;0_05;7;117,0406;20,1748;9,4175;85,2106;145,5937;258,7771;352,9426;319,8724;114,4092;116,8726;77,3866;187,5467;265,4877;284,9954
median_filter;salt_pepper;0_05;8;200,1083;23,9134;16,9545;144,3549;197,8542;308,5271;412,9151;381,9798;148,3725;133,7896;88,6125;211,6405;312,1045;327,4237
median_filter;salt_pepper;0_05;9;183,5665;25,571;15,8321;156,1098;191,8474;327,4105;433,7864;395,0715;146,9625;142,3716;91,9043;221,7124;330,43;345,219
median_filter;salt_pepper;0_05;10;262,8748;28,4295;23,7654;220,8658;240,1508;366,2132;479,9024;445,3833;177,5264;154,9982;101,0826;238,9965;365,3537;377,3287
median_filter;salt_pepper;0_25;1;6753,6366;4984,714;6726,2566;6125,3994;6455,1;4758,2255;4821,6324;5011,9562;4746,2563;4437,3849;4189,0817;4346,3933;4300,8528;4251,6124
median_filter;salt_pepper;0_25;2;3823,0051;1642,748;3957,8936;3681,4763;3563,2147;2571,2001;2442,8297;2755,071;2544,1692;2280,7259;1439,4805;1872,4026;1732,4528;1781,5022
median_filter;salt_pepper;0_25;3;222,6842;106,0257;148,623;197,9469;221,8629;247,099;315,5271;280,7582;174,4847;162,8423;136,015;204,2454;239,4143;250,3941
median_filter;salt_pepper;0_25;4;183,9806;23,3445;36,0872;123,118;154,8666;235,8621;318,627;294,3455;129,1851;107,5611;76,5378;168,6158;234,3127;251,3596
median_filter;salt_pepper;0_25;5;107,803;15,5518;9,2462;62,6592;117,2481;210,7457;293,5077;269,7177;100,7552;96,8956;66,6993;156,4454;216,1487;235,4861
median_filter;salt_pepper;0_25;6;178,8123;19,5665;17,1686;115,2608;171,4991;266,2889;361,8876;337,9735;134,6781;116,1922;79,9669;187,8009;271,0475;288,1217
median_filter;salt_pepper;0_25;7;150,2726;21,2487;12,4186;104,0594;167,966;276,7891;372,4111;341,6833;127,8615;122,2508;81,6342;194,7185;282,4332;299,8145
median_filter;salt_pepper;0_25;8;224,328;24,7817;20,6326;159,3598;212,4623;321,2246;427,1273;396,2534;158,123;138,091;92,0174;217,4592;325,3152;338,2193
median_filter;salt_pepper;0_25;9;211,0198;26,2211;19,4499;168,4749;211,1747;339,9434;446,7007;409,5584;157,5242;145,5778;94,9355;226,4707;341,4164;354,6849
median_filter;salt_pepper;0_25;10;283,4264;29,111;28,4133;230,0416;252,4286;375,5174;489,4799;455,5821;185,6619;157,5656;103,5651;243,261;374,4137;384,4979
median_filter;gaussian;0_5;1;807,6276;1655,606;1080,9612;1268,6363;958,6776;1448,153;1350,6763;1308,4326;1419,6412;1489,8758;1549,0052;1384,4908;1367,4771;1352,2871
median_filter;gaussian;0_5;2;574,3494;822,0619;687,022;824,8622;651,2805;855,4227;867,4951;846,4439;779,4537;768,8486;765,117;760,575;792,7721;795,4061
median_filter;gaussian;0_5;3;180,4315;310,5006;204,8844;279,6436;222,2158;375,1535;402,9257;370,6353;314,7743;316,2534;305,946;331,3983;351,8779;361,6841
median_filter;gaussian;0_5;4;213,1399;201,7241;157,0328;248,7981;231,0616;346,8564;406,5567;384,8327;259,7806;246,5515;225,2135;286,4096;339,2985;351,919
median_filter;gaussian;0_5;5;141,4149;126,9052;88,1697;164,9888;174,8964;297,4016;362,2816;347,498;198,9186;190,5246;164,2944;238,0425;296,333;312,7935
median_filter;gaussian;0_5;6;195,3921;99,3736;78,3623;191,0202;210,6708;320,6816;401,6597;386,2885;203,4641;182,548;149,9768;242,5347;323,1531;338,645
median_filter;gaussian;0_5;7;175,9224;77,5057;57,1992;175,3949;198,6288;323,6869;407,6114;393,0111;192,0335;172,0328;134,9636;237,0236;327,4753;343,3039
median_filter;gaussian;0_5;8;233,1738;68,2405;56,7112;220,2691;235,1328;352,8138;445,5976;428,7074;208,5668;175,268;134,2856;247,9147;356,266;369,5812
median_filter;gaussian;0_5;9;235,2144;59,9107;49,1385;234,9511;237,505;367,7268;462,4715;444,1362;211,8251;175,2129;130,9893;251,8033;370,5016;382,8959
median_filter;gaussian;0_5;10;291,1659;56,4064;52,4807;287,7181;272,9761;394,1437;494,7058;474,7012;231,4303;180,2732;134,2883;262,0507;394,8949;405,4364
median_filter;gaussian;0_9;1;4033,1873;6397,9964;5169,18;5607,1907;4541,1187;5783,2111;5476,1939;5411,7179;5748,727;5942,8049;6230,7323;5752,1717;5740,8804;5717,9632
median_filter;gaussian;0_9;2;2678,9991;3587,3187;3700,2941;4169,3346;3031,881;3922,7741;3571,1572;3670,3646;3843,0565;3892,5824;3640,6091;3516,824;3432,9061;3469,7805
median_filter;gaussian;0_9;3;841,8342;1611,2186;1041,7294;1282,2947;978,1803;1542,7121;1490,9495;1423,8043;1446,2814;1506,0847;1547,7143;1447,7839;1451,8764;1455,8842
median_filter;gaussian;0_9;4;691,042;1044,9854;794,6026;1007,9082;780,0568;1110,5568;1112,8655;1092,5757;1004,6121;997,7772;999,9853;984,96;1019,4552;1034,7254
median_filter;gaussian;0_9;5;424,7176;655,6682;419,1117;594,6307;483,3654;770,4989;809,8625;795,9772;654,7225;651,2651;640,1624;667,7738;714,0058;736,6273
